original_index,before_lat,before_lon,after_lat,after_lon,time
0,22.499802707778443,113.92858587457513,22.49980708247683,113.92861791829743,1547942405.0
1,22.498952677008614,113.9287158454258,22.498958011411894,113.92875492012439,1547942415.0
2,22.49871966491989,113.92876883353946,22.49872294342587,113.92879284900825,1547942425.0
3,22.498244645347242,113.9288528147155,22.498246943893793,113.92886965221207,1547942475.0
4,22.49786162930406,113.92892179925886,22.497865626882444,113.92894115376929,1547942485.0
5,22.4972625964243,113.92906676678138,22.49726673609455,113.92908680969339,1547942495.0
6,22.49723359483727,113.92907376521417,22.49723774531223,113.92909386046108,1547942505.0
7,22.497016585986543,113.92911175671186,22.497023644337272,113.92914593117706,1547942515.0
8,22.49613854068866,113.92931071219667,22.496148467471897,113.92935877630502,1547942525.0
9,22.49583152183383,113.92939469341634,22.49583961672169,113.92943388823434,1547942535.0
10,22.493687398259105,113.92994357090254,22.49369056574905,113.92995843813054,1547942565.0
11,22.493518392775716,113.92996656578448,22.49352548286821,113.92999984465698,1547942575.0
12,22.492577336349484,113.93021850968206,22.492594455985756,113.93027509117918,1547942625.0
13,22.49239432141756,113.93028649455185,22.492410637436677,113.930340420378,1547942635.0
14,22.492312319421476,113.93029449277701,22.492334412021567,113.93036751079303,1547942655.0
15,22.491513244683155,113.93063741654444,22.49152897096494,113.93068391087373,1547942665.0
16,22.49040514661116,113.93108731677225,22.491192061521357,113.9307537016905,1547942675.0
17,22.49018647096549,113.92481772986284,22.4901836718774,113.92640013028274,1547942885.0
18,22.490566608303055,113.92418487471294,22.49046883617114,113.9247842738138,1547942895.0
19,22.49091971140609,113.92371198316908,22.490933658880863,113.92371993700856,1547942905.0
20,22.49103974309351,113.92356701645303,22.49101517173718,113.92355300409844,1547942915.0
21,22.49119283914556,113.92312411825492,22.491214964294134,113.9231361519463,1547942945.0
22,22.491530003465318,113.92236929209534,22.491563128186336,113.92238659602374,1547942955.0
23,22.4915650200315,113.92229330961753,22.491597311723698,113.92231017839632,1547942965.0
24,22.491622050095533,113.92215534144489,22.491658139783937,113.9221741942772,1547942975.0
25,22.491875203066336,113.9214535035525,22.491913272328272,113.92146924892333,1547942985.0
26,22.492133359604022,113.92073666945295,22.49216283532398,113.92074827307344,1547942995.0
27,22.49225943459914,113.92039374892653,22.492279727801886,113.92040173772571,1547943005.0
28,22.492274464429126,113.92025678068968,22.492322273662733,113.92027560171684,1547943065.0
29,22.492171485752323,113.92015680388484,22.49234280401792,113.92021291194473,1547943075.0
30,22.491601516516184,113.92000483916503,22.491601989793516,113.92000313737496,1547943085.0
31,22.490399601329948,113.91959293484024,22.490351169527283,113.91970842069318,1547943115.0
32,22.49033459606358,113.91961592950094,22.490351169527283,113.91970842069318,1547943135.0
33,22.49023361568313,113.9195239508706,22.490351169527283,113.91970842069318,1547943825.0
34,22.490571577210662,113.91970690836354,22.490556135736888,113.9197684129298,1547943835.0
35,22.4908785534209,113.919821881657,22.490870797168633,113.9198580639317,1547943865.0
36,22.490968558785244,113.9197988869931,22.490951550576305,113.9198782289692,1547943875.0
37,22.49110555781151,113.91980588536394,22.49107570769638,113.91990927937478,1547943885.0
38,22.49161852158593,113.91998184450117,22.491593667551353,113.92007829037246,1547943895.0
39,22.492070473609704,113.92021079136396,22.49206956193021,113.92021694057667,1547943905.0
40,22.49221145939553,113.92027877559035,22.492211510000427,113.92023019848338,1547943915.0
41,22.491626073253663,113.92204836613344,22.49168359684768,113.92211728284572,1547943942.0
42,22.491563041642642,113.92219333268132,22.491633187744075,113.92222997616149,1547943945.0
43,22.491382956645115,113.92258324278095,22.49145437597511,113.92262208738545,1547943955.0
44,22.491333938526118,113.92266622366294,22.49141363472976,113.92270956997596,1547943965.0
45,22.491331935063595,113.92268221997777,22.49140728577825,113.92272320279862,1547943975.0
46,22.491129810871865,113.92325408836571,22.491154305613392,113.92326805706621,1547943985.0
47,22.490810655265477,113.9239709237546,22.49081100216209,113.92397112157919,1547943995.0
48,22.490200475950772,113.92479473511978,22.490264241672143,113.92484874020415,1547944025.0
49,22.49012746901568,113.92482572803739,22.490222565643954,113.92490626817317,1547944035.0
50,22.490062459113428,113.92487071775577,22.490177646060776,113.92496827295044,1547944045.0
51,22.489963409672313,113.92509966544952,22.490037188327,113.92516215074102,1547944075.0
52,22.49030710342106,113.93129327115597,22.489222836090192,113.93141879686345,1547944395.0
54,22.4911941830179,113.93092735218343,22.49119727380425,113.9309365391765,1547944415.0
55,22.492304279517818,113.93048545027288,22.49230990073006,113.93050302924907,1547944425.0
56,22.493819382880467,113.93001955393943,22.493822438614945,113.9300351140367,1547944455.0
57,22.49385938617713,113.93000455728173,22.493863520545766,113.93002560984414,1547944465.0
58,22.494008394718904,113.92996656574638,22.494013190102503,113.92999098410567,1547944495.0
59,22.49653952947092,113.92937169851072,22.496543293730586,113.92938974223556,1547944525.0
60,22.497393574660073,113.92917274301318,22.497395188643388,113.92918047929132,1547944535.0
61,22.497552583278093,113.92913475151698,22.49755398519672,113.92914147126939,1547944545.0
62,22.498480623764024,113.92895979068793,22.498479545162947,113.92895181595715,1547944605.0
63,22.498645630941823,113.92892879763066,22.498645162869344,113.92892533692253,1547944615.0
64,22.49865663245858,113.92892179920048,22.498656858046346,113.92892346708824,1547944645.0
65,22.49931265758577,113.92881482316774,22.499313162123045,113.92881855928111,1547944655.0
66,22.501935766236514,113.92834892772773,22.501936654569793,113.92835414605482,1547944685.0
67,22.50253778952682,113.92824994997144,22.502536594488557,113.9282420301273,1547944695.0
68,22.5025877912035,113.92824295154415,22.502586315579084,113.92823317219658,1547944705.0
69,22.50306281569142,113.92813597561161,22.503063715405254,113.92814139819257,1547944715.0
70,22.50361783733778,113.92804399630552,22.50361562257753,113.92803022619921,1547944745.0
71,22.504088868178023,113.92790702716452,22.504094160127426,113.92794046215548,1547944765.0
72,22.505032902608143,113.92776205981806,22.505034260453762,113.92777132265813,1547944775.0
73,22.505982940261408,113.92760209588401,22.505982660759532,113.92760032883858,1547944785.0
74,22.506690967440708,113.92748712182265,22.50668920597148,113.92747501886527,1547944815.0
75,22.506734970795016,113.92747212521037,22.506734264751667,113.92746727404,1547944855.0
76,22.507216992214577,113.92738014597937,22.507217582191206,113.92738419957719,1547944865.0
77,22.508627005867822,113.92734215447923,22.508628290438704,113.92732199745947,1547944885.0
78,22.508940997356426,113.92738814405394,22.508943655594674,113.92734601057181,1547944895.0
79,22.509188996643275,113.927396142228,22.50919103303509,113.92736386538466,1547944965.0
80,22.509702000374062,113.92738814400256,22.50970120893546,113.9274006882212,1547944995.0
81,22.512240973124158,113.92756410404199,22.512239803538268,113.92758326608823,1547945025.0
82,22.51240497229038,113.92757110244892,22.51240291539444,113.92759680262208,1547945035.0
83,22.512742967060284,113.92760209542114,22.51274090204624,113.92762789657125,1547945125.0
84,22.51340096330992,113.92763208859809,22.51340087186511,113.92764461208668,1547945135.0
85,22.513877957148622,113.92767007998135,22.513878119146593,113.92764789717465,1547945145.0
