original_index,lat,lon
0,22.55529116,113.9422849
1,22.55497625,113.94182
2,22.55496726,113.941774
3,22.55516327,113.941713
4,22.55539031,113.9415071
5,22.555414,113.9282579
6,22.55513493,113.9285399
7,22.55178591,113.9285779
8,22.5509469,113.9286089
9,22.5505079,113.9286089
10,22.55041891,113.9285929
11,22.54990892,113.9285099
12,22.54916696,113.9283339
13,22.54877598,113.928212
14,22.548553,113.928105
15,22.54779407,113.9277471
16,22.54722012,113.9275181
17,22.54632219,113.9271672
18,22.54581423,113.9269682
19,22.5449443,113.9266253
20,22.54407746,113.9258775
21,22.54390149,113.9257255
22,22.5432916,113.9252066
23,22.54309279,113.9242988
24,22.54312994,113.92359
25,22.54320409,113.9229112
26,22.54324816,113.9225832
27,22.5432373,113.9219494
28,22.54325051,113.9209886
29,22.54332891,113.919158
30,22.54333506,113.9184712
31,22.54340919,113.9178693
32,22.54342122,113.9177394
33,22.54343625,113.9175794
34,22.54355067,113.9156569
35,22.54373984,113.914886
36,22.54395004,113.9140092
37,22.54431429,113.9128725
38,22.54465852,113.9118357
39,22.54461099,113.9096693
40,22.54402898,113.9097222
41,22.54344696,113.9097832
42,22.54264994,113.9098602
43,22.54205694,113.9098672
44,22.54178393,113.9098832
45,22.54109893,113.9098752
46,22.54103793,113.9098832
47,22.54076892,113.9099132
48,22.5402749,113.9100202
49,22.53966488,113.9100892
50,22.53865587,113.9101341
51,22.53775987,113.9100892
52,22.53759387,113.9100892
53,22.53697585,113.9101731
54,22.53611685,113.9101731
55,22.53557584,113.9101951
56,22.53554083,113.9102181
57,22.53472881,113.9102951
58,22.53400182,113.9102641
59,22.53352683,113.9102031
60,22.53289583,113.9101801
61,22.53240583,113.9101801
62,22.53198181,113.9102561
63,22.53163681,113.9102791
64,22.53158881,113.9102641
65,22.52872285,113.9100122
66,22.52816387,113.9099212
67,22.52753787,113.9099052
68,22.52674291,113.9097222
69,22.52663992,113.9096693
70,22.52627597,113.9094253
71,22.52576801,113.9092494
72,22.52497099,113.9093183
73,22.52443501,113.9092344
74,22.52405702,113.9091584
75,22.52345505,113.9089984
76,22.52282711,113.9087465
77,22.52255412,113.9086775
78,22.52213517,113.9084645
79,22.52146727,113.9079687
80,22.5196826,113.906435
81,22.51887977,113.9056422
82,22.51839289,113.9050923
83,22.51828891,113.9049703
84,22.51806295,113.9047804
85,22.51736408,113.9041845
86,22.5167232,113.9036277
87,22.51617031,113.9030868
88,22.5157564,113.9026749
89,22.51563542,113.9025529
90,22.51555244,113.9024689
91,22.51501256,113.9019351
92,22.5147526,113.9017361
93,22.5146876,113.9016981
94,22.51459862,113.9016371
95,22.51445966,113.9014312
